Add,Block ID,CLUE small area,Longitude,Latitude
"Shop , 34 Little Collins Street MELBOURNE 3000",48,Melbourne (CBD),144.97064,-37.81406
"Floor 1, 20 Meyers Place MELBOURNE 3000",48,Melbourne (CBD),144.97104,-37.81372
"Part Ground , 620 Bourke Street MELBOURNE 3000",51,Melbourne (CBD),144.95401,-37.81787
"Part Ground , 620 Bourke Street MELBOURNE 3000",51,Melbourne (CBD),144.95401,-37.81787
185 King Street MELBOURNE 3000,51,Melbourne (CBD),144.95383,-37.81748
"Part Gnd & Flr1 , 570 Bourke Street MELBOURNE 3000",52,Melbourne (CBD),144.95544,-37.81715
"Shop 10, 500 Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95746,-37.81659
"Ground , 480 Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95815,-37.8167
"Ground , 441-443 Little Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95834,-37.81594
"Shop 1, Ground , 471 Little Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95772,-37.81623
"Shop 1, Ground , 471 Little Bourke Street MELBOURNE 3000",53,Melbourne (CBD),144.95772,-37.81623
"Ground , 163 Queen Street MELBOURNE 3000",53,Melbourne (CBD),144.95891,-37.81632
185-199 Queen Street MELBOURNE 3000,53,Melbourne (CBD),144.95865,-37.81592
"Ground , 180 William Street MELBOURNE 3000",53,Melbourne (CBD),144.95677,-37.81641
32 Bourke Street MELBOURNE 3000,54,Melbourne (CBD),144.96042,-37.81586
"Basement , 380 Bourke Street MELBOURNE 3000",54,Melbourne (CBD),144.96095,-37.81582
15 Hardware Lane MELBOURNE 3000,54,Melbourne (CBD),144.96009,-37.81593
369-371 Little Bourke Street MELBOURNE 3000,54,Melbourne (CBD),144.96047,-37.81531
"Ground , 387 Little Bourke Street MELBOURNE 3000",54,Melbourne (CBD),144.96008,-37.81543
"Shop 4, 37 Little Bourke Street MELBOURNE 3000",54,Melbourne (CBD),144.95989,-37.81549
"Shop 2, Part 393-397 Little Bourke Street MELBOURNE 3000",54,Melbourne (CBD),144.95989,-37.81549
"Ground , 174 Queen Street MELBOURNE 3000",54,Melbourne (CBD),144.95945,-37.81593
"Basement , 265-279 Little Bourke Street MELBOURNE 3000",55,Melbourne (CBD),144.96335,-37.81453
"Ground , 211 Swanston Street MELBOURNE 3000",55,Melbourne (CBD),144.9637,-37.81448
"Shop 8, 246-260 Bourke Street MELBOURNE 3000",56,Melbourne (CBD),144.96454,-37.81458
"Shop 18, 194-200 Bourke Street MELBOURNE 3000",56,Melbourne (CBD),144.96595,-37.81404
"Ground , 180-182 Bourke Street MELBOURNE 3000",56,Melbourne (CBD),144.96647,-37.81428
195 Little Bourke Street MELBOURNE 3000,56,Melbourne (CBD),144.96551,-37.81385
163 Russell Street MELBOURNE 3000,56,Melbourne (CBD),144.96632,-37.81411
171-173 Russell Street MELBOURNE 3000,56,Melbourne (CBD),144.96627,-37.81402
160-162 Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96715,-37.81409
"Ground , 139 Bourke Street MELBOURNE 3000",57,Melbourne (CBD),144.9672,-37.8136
"Level 1, 139 Bourke Street MELBOURNE 3000",57,Melbourne (CBD),144.9672,-37.8136
"Part Ground , 140 Bourke Street MELBOURNE 3000",57,Melbourne (CBD),144.96752,-37.81366
131-135 Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96752,-37.81366
105 Little Bourke Street MELBOURNE 3000,57,Melbourne (CBD),144.96802,-37.8131
"Gnd & Mezz , 115-117 Little Bourke Street MELBOURNE 3000",57,Melbourne (CBD),144.96769,-37.81323
"Ground , 18 Market Lane MELBOURNE 3000",57,Melbourne (CBD),144.96809,-37.81339
"Floor 1, 18 Market Lane MELBOURNE 3000",57,Melbourne (CBD),144.96809,-37.81339
76 Bourke Street MELBOURNE 3000,58,Melbourne (CBD),144.96963,-37.81334
"Shop 2, 47-55 Little Bourke Street MELBOURNE 3000",58,Melbourne (CBD),144.96979,-37.81266
161 Spring Street MELBOURNE 3000,58,Melbourne (CBD),144.97111,-37.81259
213-215 King Street MELBOURNE 3000,61,Melbourne (CBD),144.95358,-37.81686
213-215 King Street MELBOURNE 3000,61,Melbourne (CBD),144.95358,-37.81686
"Shop 1, 225-237 King Street MELBOURNE 3000",61,Melbourne (CBD),144.95343,-37.81651
525 Lonsdale Street MELBOURNE 3000,62,Melbourne (CBD),144.95534,-37.81592
342 Elizabeth Street MELBOURNE 3000,64,Melbourne (CBD),144.96097,-37.81485
75 Hardware Lane MELBOURNE 3000,64,Melbourne (CBD),144.95955,-37.81478
78 Hardware Lane MELBOURNE 3000,64,Melbourne (CBD),144.95979,-37.81471
64-66 Hardware Lane MELBOURNE 3000,64,Melbourne (CBD),144.95985,-37.81482
64-66 Hardware Lane MELBOURNE 3000,64,Melbourne (CBD),144.95985,-37.81482
"Part Ground , 56 Hardware Lane MELBOURNE 3000",64,Melbourne (CBD),144.95995,-37.81503
383 Lonsdale Street MELBOURNE 3000,64,Melbourne (CBD),144.95988,-37.81447
"Unit 1, Part Ground , 400 Little Bourke Street MELBOURNE 3000",64,Melbourne (CBD),144.95959,-37.81529
46-52 Little Bourke Street MELBOURNE 3000,64,Melbourne (CBD),144.96001,-37.81518
"Shop 3, 200 Queen Street MELBOURNE 3000",64,Melbourne (CBD),144.95916,-37.81511
237 Swanston Street MELBOURNE 3000,65,Melbourne (CBD),144.96349,-37.81408
"Ground , 241 Swanston Street MELBOURNE 3000",65,Melbourne (CBD),144.96346,-37.81403
"Level 1, 243-249 Swanston Street MELBOURNE 3000",65,Melbourne (CBD),144.96342,-37.81394
251-253 Swanston Street MELBOURNE 3000,65,Melbourne (CBD),144.96338,-37.81385
Part 15 Heffernan Lane MELBOURNE 3000,66,Melbourne (CBD),144.96523,-37.81334
195 Lonsdale Street MELBOURNE 3000,66,Melbourne (CBD),144.96531,-37.81291
"Part Ground , 203-207 Lonsdale Street MELBOURNE 3000",66,Melbourne (CBD),144.96504,-37.81297
209-211 Lonsdale Street MELBOURNE 3000,66,Melbourne (CBD),144.96494,-37.81307
204 Little Bourke Street MELBOURNE 3000,66,Melbourne (CBD),144.96523,-37.81363
"Ground , 178-190 Little Bourke Street MELBOURNE 3000",66,Melbourne (CBD),144.96563,-37.81351
"Ground , 213 Russell Street MELBOURNE 3000",66,Melbourne (CBD),144.96592,-37.8132
177-179 Russell Street MELBOURNE 3000,66,Melbourne (CBD),144.96572,-37.81276
"Ground , 4 Tattersalls Lane MELBOURNE 3000",66,Melbourne (CBD),144.96445,-37.8137
"Ground , 3-5 Waratah Place MELBOURNE 3000",66,Melbourne (CBD),144.96572,-37.81335
"Ground , 11 Cohen Place MELBOURNE 3000",67,Melbourne (CBD),144.96763,-37.81268
"Ground , 22-26 Corrs Lane MELBOURNE 3000",67,Melbourne (CBD),144.96701,-37.81264
"Ground , 113 Lonsdale Street MELBOURNE 3000",67,Melbourne (CBD),144.9677,-37.8122
Part 123-129 Lonsdale Street MELBOURNE 3000,67,Melbourne (CBD),144.96736,-37.81235
120-122 Little Bourke Street MELBOURNE 3000,67,Melbourne (CBD),144.96759,-37.81295
196-208 Russell Street MELBOURNE 3000,67,Melbourne (CBD),144.96656,-37.81322
273 King Street MELBOURNE 3000,71,Melbourne (CBD),144.95297,-37.81549
552 Lonsdale Street MELBOURNE 3000,72,Melbourne (CBD),144.95456,-37.81549
"Part Ground , 255 William Street MELBOURNE 3000",72,Melbourne (CBD),144.95538,-37.81482
10 Lonsdale Street MELBOURNE 3000,72,Melbourne (CBD),144.95469,-37.81509
10 Lonsdale Street MELBOURNE 3000,72,Melbourne (CBD),144.95469,-37.81509
"Shop 3, 535 Little Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Shop 3, 535 Little Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Shop 0, 535-0 Little Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Shop 1, 535 Little Lonsdale Street MELBOURNE 3000",72,Melbourne (CBD),144.95469,-37.81509
"Ground , 374 Lonsdale Street MELBOURNE 3000",74,Melbourne (CBD),144.9598,-37.81366
"Ground , 210 Lonsdale Street MELBOURNE 3000",76,Melbourne (CBD),144.96452,-37.81255
Part 275 Exhibition Street MELBOURNE 3000,77,Melbourne (CBD),144.96759,-37.81102
264-266 Russell Street MELBOURNE 3000,77,Melbourne (CBD),144.96588,-37.81184
"Ground , 36 Lonsdale Street MELBOURNE 3000",78,Melbourne (CBD),144.96975,-37.81078
"Ground , 38 Lonsdale Street MELBOURNE 3000",78,Melbourne (CBD),144.96975,-37.81078
"Restaurant , 585 La Trobe Street MELBOURNE 3000",81,Melbourne (CBD),144.95056,-37.81501
328-330 King Street MELBOURNE 3000,82,Melbourne (CBD),144.95293,-37.81419
324-326 King Street MELBOURNE 3000,82,Melbourne (CBD),144.95296,-37.81425
"Ground , 318 King Street MELBOURNE 3000",82,Melbourne (CBD),144.953,-37.81434
"Ground , 318 King Street MELBOURNE 3000",82,Melbourne (CBD),144.953,-37.81434
"Part Ground , 469 La Trobe Street MELBOURNE 3000",82,Melbourne (CBD),144.95398,-37.81416
"Rear Ground , 485 La Trobe Street MELBOURNE 3000",82,Melbourne (CBD),144.95361,-37.81433
"Rear Ground , 485 La Trobe Street MELBOURNE 3000",82,Melbourne (CBD),144.95361,-37.81433
308 Little Lonsdale Street MELBOURNE 3000,84,Melbourne (CBD),144.95897,-37.81322
308 Little Lonsdale Street MELBOURNE 3000,84,Melbourne (CBD),144.95897,-37.81322
"Shop 217, Level 2, 300 Lonsdale Street MELBOURNE 3000",85,Melbourne (CBD),144.96158,-37.81211
"Shop 329, Level 3, 300 Lonsdale Street MELBOURNE 3000",85,Melbourne (CBD),144.96158,-37.81211
"Shop 131, Level 1, 300 Lonsdale Street MELBOURNE 3000",85,Melbourne (CBD),144.96158,-37.81211
"Shop 1, Ground , 335-347 Swanston Street MELBOURNE 3000",85,Melbourne (CBD),144.96244,-37.812
"Shop 1, Ground , 335-347 Swanston Street MELBOURNE 3000",85,Melbourne (CBD),144.96244,-37.812
